year,month,equivalent water thickness change(cm)
2002,5,6.682999488
2002,8,16.64930144
2002,11,25.51233527
2003,2,38.70461015
2003,5,14.26655119
2003,8,14.95459259
2003,11,26.46794962
2004,2,44.36227957
2004,5,19.24245462
2004,8,30.0213657
2004,11,17.0759417
2005,2,41.30999045
2005,5,33.44397007
2005,8,30.46472095
2005,11,38.00253107
2006,2,62.63886035
2006,5,41.85607508
2006,8,38.25078678
2006,11,67.46338983
2007,2,53.58130826
2007,5,25.30694927
2007,8,24.6893156
2007,11,30.01847048
2008,2,27.07943739
2008,5,59.0839371
2008,8,17.72870753
2008,11,30.97800376
2009,2,6.494670737
2009,5,26.73803703
2009,8,-0.609362707
2009,11,19.47479826
2010,2,-4.372370282
2010,5,13.59113182
2010,8,1.262611129
2010,11,3.359188675
2011,2,2.790392471
2011,5,21.43339873
2011,8,11.04926632
2011,11,27.98316561
2012,2,7.159428698
2012,5,0.79684048
2012,8,-17.98963896
2012,11,-11.19712762
2013,2,-35.64723654
2013,5,-25.81937582
2013,8,-30.33556429
2013,11,-38.74003146
2014,2,-60.03482573
2014,5,-56.59874591
2014,8,-73.73749118
2014,11,-69.85183392
2015,2,-84.31324154
2015,5,-67.06581939
2015,8,-61.96092224
2015,11,-89.44184015
2016,2,-83.69406655
2016,5,-58.90838112
2016,8,-32.23353872
2016,11,-74.23422447
2017,2,-61.95621289
2017,5,-74.06396719